vegetable,week_start,wholesale_price,retail_price
CABBAGE,2000-05-29,12.6,36.23
CARROT,2000-05-29,28.5,48.57
LEEKS,2000-05-29,21.47,42.37
PUMPKIN,2000-05-29,6.95,23.07
SNAKE GOURD,2000-05-29,15.5,31.86
BRINJALS,2000-06-05,24.6,41.39
CABBAGE,2000-06-05,11.5,34.89
CARROT,2000-06-05,29.6,48.38
LEEKS,2000-06-05,22.4,41.88
PUMPKIN,2000-06-05,6.9,23.39
SNAKE GOURD,2000-06-05,12.6,31.36
BRINJALS,2000-06-12,25.0,40.89
CABBAGE,2000-06-12,11.0,34.55
CARROT,2000-06-12,28.47,50.41
LEEKS,2000-06-12,22.53,42.23
PUMPKIN,2000-06-12,7.0,22.91
SNAKE GOURD,2000-06-12,13.6,31.48
BRINJALS,2000-06-19,25.55,43.07
CABBAGE,2000-06-19,23.05,38.29
CARROT,2000-06-19,29.1,50.57
LEEKS,2000-06-19,21.95,42.57
PUMPKIN,2000-06-19,8.6,26.97
SNAKE GOURD,2000-06-19,14.65,33.91
BRINJALS,2000-06-26,25.25,43.39
CABBAGE,2000-06-26,9.6,34.85
CARROT,2000-06-26,27.0,51.45
LEEKS,2000-06-26,23.9,45.49
PUMPKIN,2000-06-26,12.65,29.86
SNAKE GOURD,2000-06-26,13.7,33.77
BRINJALS,2000-07-03,22.67,43.01
CABBAGE,2000-07-03,9.73,34.06
CARROT,2000-07-03,25.33,48.8
LEEKS,2000-07-03,21.0,41.68
PUMPKIN,2000-07-03,15.4,32.9
SNAKE GOURD,2000-07-03,11.0,32.79
BRINJALS,2000-07-10,22.0,41.59
CABBAGE,2000-07-10,10.67,33.74
CARROT,2000-07-10,22.73,47.71
LEEKS,2000-07-10,20.8,40.78
PUMPKIN,2000-07-10,16.07,33.14
SNAKE GOURD,2000-07-10,12.47,30.67
BRINJALS,2000-07-17,22.75,46.59
CABBAGE,2000-07-17,12.0,35.23
CARROT,2000-07-17,23.85,46.97
LEEKS,2000-07-17,22.25,41.71
PUMPKIN,2000-07-17,16.45,33.9
SNAKE GOURD,2000-07-17,10.8,30.85
BRINJALS,2000-07-24,22.0,46.23
CABBAGE,2000-07-24,16.8,39.58
CARROT,2000-07-24,25.67,47.36
LEEKS,2000-07-24,21.73,41.62
PUMPKIN,2000-07-24,16.67,35.07
SNAKE GOURD,2000-07-24,9.47,31.7
BRINJALS,2000-07-31,22.0,44.51
CABBAGE,2000-07-31,16.95,38.33
CARROT,2000-07-31,24.8,45.06
LEEKS,2000-07-31,20.9,39.4
PUMPKIN,2000-07-31,14.0,32.5
SNAKE GOURD,2000-07-31,9.9,28.8
BRINJALS,2000-08-07,17.7,46.13
CABBAGE,2000-08-07,14.0,37.41
CARROT,2000-08-07,22.8,46.51
LEEKS,2000-08-07,19.3,40.66
PUMPKIN,2000-08-07,12.15,30.63
SNAKE GOURD,2000-08-07,9.5,28.7
BRINJALS,2000-08-14,14.15,41.93
CABBAGE,2000-08-14,13.05,36.0
CARROT,2000-08-14,22.6,44.5
LEEKS,2000-08-14,19.4,39.32
PUMPKIN,2000-08-14,11.65,27.93
SNAKE GOURD,2000-08-14,8.75,27.93
BRINJALS,2000-08-21,17.8,43.34
CABBAGE,2000-08-21,10.87,34.36
CARROT,2000-08-21,22.53,44.28
LEEKS,2000-08-21,18.93,39.1
PUMPKIN,2000-08-21,13.4,28.19
SNAKE GOURD,2000-08-21,10.0,27.45
BRINJALS,2000-08-28,17.0,41.66
CABBAGE,2000-08-28,12.5,35.21
CARROT,2000-08-28,22.4,42.59
LEEKS,2000-08-28,17.6,36.9
PUMPKIN,2000-08-28,14.4,27.97
SNAKE GOURD,2000-08-28,9.2,26.34
BRINJALS,2000-09-04,17.0,38.46
CABBAGE,2000-09-04,14.8,37.11
CARROT,2000-09-04,19.6,39.86
LEEKS,2000-09-04,15.8,34.27
PUMPKIN,2000-09-04,14.0,29.68
SNAKE GOURD,2000-09-04,8.53,25.74
BRINJALS,2000-09-11,17.6,42.41
CABBAGE,2000-09-11,14.3,37.9
CARROT,2000-09-11,21.3,43.24
LEEKS,2000-09-11,17.3,37.95
PUMPKIN,2000-09-11,15.3,29.93
SNAKE GOURD,2000-09-11,8.6,27.34
BRINJALS,2000-09-18,17.0,38.46
CABBAGE,2000-09-18,14.8,37.11
CARROT,2000-09-18,19.6,39.86
LEEKS,2000-09-18,15.8,34.27
PUMPKIN,2000-09-18,14.0,29.68
SNAKE GOURD,2000-09-18,8.53,25.74
BRINJALS,2000-09-25,13.87,37.73
CABBAGE,2000-09-25,14.73,37.45
CARROT,2000-09-25,20.13,39.54
LEEKS,2000-09-25,16.6,35.92
PUMPKIN,2000-09-25,13.27,28.31
SNAKE GOURD,2000-09-25,8.4,25.56
BRINJALS,2000-10-02,17.3,39.07
CABBAGE,2000-10-02,13.4,35.82
CARROT,2000-10-02,21.4,39.21
LEEKS,2000-10-02,16.2,35.8
PUMPKIN,2000-10-02,13.6,29.02
SNAKE GOURD,2000-10-02,12.1,27.27
BRINJALS,2000-10-09,19.9,40.38
CABBAGE,2000-10-09,14.0,35.88
CARROT,2000-10-09,23.2,42.31
LEEKS,2000-10-09,18.1,38.95
PUMPKIN,2000-10-09,12.9,29.03
SNAKE GOURD,2000-10-09,11.5,27.8
BRINJALS,2000-10-16,22.3,40.89
CABBAGE,2000-10-16,12.3,34.84
CARROT,2000-10-16,16.4,36.77
LEEKS,2000-10-16,14.4,34.41
PUMPKIN,2000-10-16,13.1,28.5
SNAKE GOURD,2000-10-16,13.1,29.0
BRINJALS,2000-10-23,24.1,44.98
CABBAGE,2000-10-23,14.0,36.64
CARROT,2000-10-23,18.9,40.44
LEEKS,2000-10-23,17.9,37.22
PUMPKIN,2000-10-23,12.5,27.33
SNAKE GOURD,2000-10-23,13.0,28.71
BRINJALS,2000-10-30,25.5,45.0
CABBAGE,2000-10-30,17.8,38.53
CARROT,2000-10-30,24.2,44.69
LEEKS,2000-10-30,17.8,39.96
PUMPKIN,2000-10-30,11.4,27.49
SNAKE GOURD,2000-10-30,11.2,29.29
BRINJALS,2000-11-06,18.8,41.31
CABBAGE,2000-11-06,16.6,36.23
CARROT,2000-11-06,19.9,41.76
LEEKS,2000-11-06,16.0,38.82
PUMPKIN,2000-11-06,10.1,26.98
SNAKE GOURD,2000-11-06,8.6,26.23
BRINJALS,2000-11-13,17.0,41.44
CABBAGE,2000-11-13,13.4,38.09
CARROT,2000-11-13,23.0,42.6
LEEKS,2000-11-13,16.1,39.31
PUMPKIN,2000-11-13,9.4,26.18
SNAKE GOURD,2000-11-13,8.3,27.55
BRINJALS,2000-11-20,17.5,42.09
CABBAGE,2000-11-20,10.7,36.62
CARROT,2000-11-20,21.2,43.57
LEEKS,2000-11-20,14.1,39.33
PUMPKIN,2000-11-20,9.6,25.55
SNAKE GOURD,2000-11-20,11.2,27.84
BRINJALS,2000-11-27,14.5,40.87
CABBAGE,2000-11-27,12.1,37.6
CARROT,2000-11-27,21.0,46.0
LEEKS,2000-11-27,14.4,38.38
PUMPKIN,2000-11-27,8.7,26.02
SNAKE GOURD,2000-11-27,14.4,31.34
BRINJALS,2000-12-04,19.5,43.41
CABBAGE,2000-12-04,14.5,39.38
CARROT,2000-12-04,23.6,44.84
LEEKS,2000-12-04,17.0,39.62
PUMPKIN,2000-12-04,7.8,25.16
SNAKE GOURD,2000-12-04,19.8,34.96
BRINJALS,2000-12-11,18.3,42.41
CABBAGE,2000-12-11,17.2,40.6
CARROT,2000-12-11,28.2,48.0
LEEKS,2000-12-11,17.2,41.87
PUMPKIN,2000-12-11,8.5,24.67
SNAKE GOURD,2000-12-11,20.6,35.84
BRINJALS,2000-12-18,18.6,43.07
CABBAGE,2000-12-18,14.63,38.47
CARROT,2000-12-18,26.3,48.62
LEEKS,2000-12-18,18.5,40.71
PUMPKIN,2000-12-18,10.3,25.67
SNAKE GOURD,2000-12-18,20.6,37.0
BRINJALS,2000-12-25,18.9,43.11
CABBAGE,2000-12-25,16.5,40.36
CARROT,2000-12-25,26.3,51.69
LEEKS,2000-12-25,20.1,44.07
PUMPKIN,2000-12-25,12.1,28.8
SNAKE GOURD,2000-12-25,18.5,37.22
BRINJALS,2001-01-01,17.5,42.85
CABBAGE,2001-01-01,16.3,40.07
CARROT,2001-01-01,26.0,49.58
LEEKS,2001-01-01,18.6,41.93
PUMPKIN,2001-01-01,11.95,28.78
SNAKE GOURD,2001-01-01,17.8,36.91
BRINJALS,2001-01-08,14.4,39.71
CABBAGE,2001-01-08,13.9,37.73
CARROT,2001-01-08,24.4,48.0
LEEKS,2001-01-08,16.7,39.29
PUMPKIN,2001-01-08,12.1,28.93
SNAKE GOURD,2001-01-08,16.9,35.53
BRINJALS,2001-01-15,19.5,42.53
CABBAGE,2001-01-15,19.3,43.3
CARROT,2001-01-15,26.4,47.42
LEEKS,2001-01-15,18.8,39.63
PUMPKIN,2001-01-15,13.9,29.07
SNAKE GOURD,2001-01-15,18.8,36.4
BRINJALS,2001-01-22,23.1,45.02
CABBAGE,2001-01-22,21.2,44.56
CARROT,2001-01-22,34.3,53.78
LEEKS,2001-01-22,24.0,43.47
PUMPKIN,2001-01-22,18.1,32.51
SNAKE GOURD,2001-01-22,18.5,36.39
BRINJALS,2001-01-29,24.2,46.82
CABBAGE,2001-01-29,19.4,43.18
CARROT,2001-01-29,36.3,53.64
LEEKS,2001-01-29,19.8,41.82
PUMPKIN,2001-01-29,19.7,35.07
SNAKE GOURD,2001-01-29,18.4,36.28
BRINJALS,2001-02-05,18.9,44.2
CABBAGE,2001-02-05,18.5,42.22
CARROT,2001-02-05,34.08,55.02
LEEKS,2001-02-05,19.44,41.78
PUMPKIN,2001-02-05,21.6,36.87
SNAKE GOURD,2001-02-05,16.5,35.91
BRINJALS,2001-02-12,21.6,45.33
CABBAGE,2001-02-12,24.8,46.04
CARROT,2001-02-12,43.2,62.22
LEEKS,2001-02-12,22.5,45.6
PUMPKIN,2001-02-12,22.5,37.02
SNAKE GOURD,2001-02-12,19.2,36.24
BRINJALS,2001-02-19,16.2,39.62
CABBAGE,2001-02-19,23.7,45.9
CARROT,2001-02-19,33.0,52.48
LEEKS,2001-02-19,21.5,42.14
PUMPKIN,2001-02-19,22.8,37.56
SNAKE GOURD,2001-02-19,17.6,36.2
BRINJALS,2001-02-26,12.6,38.69
CABBAGE,2001-02-26,22.8,45.3
CARROT,2001-02-26,32.1,51.12
LEEKS,2001-02-26,21.05,41.6
PUMPKIN,2001-02-26,23.6,39.45
SNAKE GOURD,2001-02-26,15.4,32.48
BRINJALS,2001-03-05,9.9,35.364999999999995
CABBAGE,2001-03-05,21.15,43.15
CARROT,2001-03-05,30.55,50.705
LEEKS,2001-03-05,20.625,41.0
PUMPKIN,2001-03-05,21.35,37.115
SNAKE GOURD,2001-03-05,14.1,31.229999999999997
BRINJALS,2001-03-12,7.2,32.04
CABBAGE,2001-03-12,19.5,41.0
CARROT,2001-03-12,29.0,50.29
LEEKS,2001-03-12,20.2,40.4
PUMPKIN,2001-03-12,19.1,34.78
SNAKE GOURD,2001-03-12,12.8,29.98
BRINJALS,2001-03-19,5.9,27.58
CABBAGE,2001-03-19,20.0,43.5
CARROT,2001-03-19,30.9,50.85
LEEKS,2001-03-19,20.6,40.41
PUMPKIN,2001-03-19,17.2,34.5
SNAKE GOURD,2001-03-19,11.9,29.6
BRINJALS,2001-03-26,5.1,26.14
CABBAGE,2001-03-26,17.8,40.95
CARROT,2001-03-26,29.8,48.3
LEEKS,2001-03-26,20.6,38.7
PUMPKIN,2001-03-26,16.5,34.0
SNAKE GOURD,2001-03-26,9.2,27.71
BRINJALS,2001-04-02,7.0,27.09
CABBAGE,2001-04-02,16.6,40.66
CARROT,2001-04-02,28.8,48.22
LEEKS,2001-04-02,19.2,38.53
PUMPKIN,2001-04-02,17.4,35.33
SNAKE GOURD,2001-04-02,10.0,28.18
BRINJALS,2001-04-09,15.3,39.31
CABBAGE,2001-04-09,15.6,39.6
CARROT,2001-04-09,27.3,48.2
LEEKS,2001-04-09,19.45,39.98
PUMPKIN,2001-04-09,17.6,35.78
SNAKE GOURD,2001-04-09,11.3,30.39
BRINJALS,2001-04-16,17.0,47.6
CABBAGE,2001-04-16,13.6,42.1
CARROT,2001-04-16,26.4,50.73
LEEKS,2001-04-16,16.2,42.45
PUMPKIN,2001-04-16,17.6,37.88
SNAKE GOURD,2001-04-16,10.8,33.93
BRINJALS,2001-04-23,16.6,43.71
CABBAGE,2001-04-23,12.6,39.0
CARROT,2001-04-23,26.4,48.4
LEEKS,2001-04-23,15.95,39.4
PUMPKIN,2001-04-23,17.41,35.34
SNAKE GOURD,2001-04-23,11.0,31.11
BRINJALS,2001-04-30,21.4,44.53
CABBAGE,2001-04-30,12.6,38.53
CARROT,2001-04-30,26.3,47.96
LEEKS,2001-04-30,15.35,38.27
PUMPKIN,2001-04-30,16.1,34.88
SNAKE GOURD,2001-04-30,14.6,31.14
BRINJALS,2001-05-07,21.83,49.29
CABBAGE,2001-05-07,13.6,39.59
CARROT,2001-05-07,26.9,50.31
LEEKS,2001-05-07,16.4,40.82
PUMPKIN,2001-05-07,16.1,33.64
SNAKE GOURD,2001-05-07,12.1,32.32
BRINJALS,2001-05-14,18.7,44.35
CABBAGE,2001-05-14,15.3,42.7
CARROT,2001-05-14,27.4,51.08
LEEKS,2001-05-14,17.9,41.11
PUMPKIN,2001-05-14,15.5,32.8
SNAKE GOURD,2001-05-14,14.4,33.33
BRINJALS,2001-05-21,19.0,44.7
CABBAGE,2001-05-21,17.1,43.38
CARROT,2001-05-21,35.8,58.48
LEEKS,2001-05-21,18.7,42.38
PUMPKIN,2001-05-21,14.3,32.05
SNAKE GOURD,2001-05-21,14.4,34.23
BRINJALS,2001-05-28,19.5,45.25
CABBAGE,2001-05-28,18.8,44.0
CARROT,2001-05-28,36.7,59.3
LEEKS,2001-05-28,19.6,42.76
PUMPKIN,2001-05-28,13.6,31.75
SNAKE GOURD,2001-05-28,14.78,33.36
BRINJALS,2001-06-04,19.1,44.75
CABBAGE,2001-06-04,18.2,42.4
CARROT,2001-06-04,36.7,56.73
LEEKS,2001-06-04,17.8,41.91
PUMPKIN,2001-06-04,14.0,33.76
SNAKE GOURD,2001-06-04,13.7,31.8
BRINJALS,2001-06-11,20.5,48.47
CABBAGE,2001-06-11,20.7,44.93
CARROT,2001-06-11,39.8,62.0
LEEKS,2001-06-11,25.3,43.84
PUMPKIN,2001-06-11,14.3,33.9
SNAKE GOURD,2001-06-11,14.1,34.2
BRINJALS,2001-06-18,21.2,48.89
CABBAGE,2001-06-18,21.1,48.2
CARROT,2001-06-18,40.6,63.0
LEEKS,2001-06-18,22.2,43.5
PUMPKIN,2001-06-18,18.7,35.0
SNAKE GOURD,2001-06-18,14.6,34.0
BRINJALS,2001-06-25,23.6,51.0
CABBAGE,2001-06-25,24.3,51.98
CARROT,2001-06-25,41.3,63.2
LEEKS,2001-06-25,23.4,44.04
PUMPKIN,2001-06-25,25.8,42.7
SNAKE GOURD,2001-06-25,14.7,35.13
BRINJALS,2001-07-02,20.5,50.44
CABBAGE,2001-07-02,21.4,51.78
CARROT,2001-07-02,39.9,60.36
LEEKS,2001-07-02,23.7,44.64
PUMPKIN,2001-07-02,30.4,45.69
SNAKE GOURD,2001-07-02,13.4,34.71
BRINJALS,2001-07-09,20.0,47.87
CABBAGE,2001-07-09,17.3,46.02
CARROT,2001-07-09,37.2,57.07
LEEKS,2001-07-09,24.1,47.33
PUMPKIN,2001-07-09,30.85,53.74
SNAKE GOURD,2001-07-09,11.4,32.93
BRINJALS,2001-07-16,19.6,44.87
CABBAGE,2001-07-16,17.2,44.11
CARROT,2001-07-16,32.8,52.13
LEEKS,2001-07-16,22.5,45.0
PUMPKIN,2001-07-16,29.5,48.9
SNAKE GOURD,2001-07-16,11.1,31.91
BRINJALS,2001-07-23,17.5,43.86
CABBAGE,2001-07-23,18.7,45.07
CARROT,2001-07-23,33.4,53.02
LEEKS,2001-07-23,21.5,42.6
PUMPKIN,2001-07-23,26.6,45.82
SNAKE GOURD,2001-07-23,11.3,29.68
BRINJALS,2001-07-30,18.0,45.22
CABBAGE,2001-07-30,18.0,43.71
CARROT,2001-07-30,33.4,54.47
LEEKS,2001-07-30,21.0,42.24
PUMPKIN,2001-07-30,24.2,42.6
SNAKE GOURD,2001-07-30,9.8,29.58
BRINJALS,2001-08-06,18.3,43.62
CABBAGE,2001-08-06,16.6,42.87
CARROT,2001-08-06,32.2,52.51
LEEKS,2001-08-06,20.1,41.51
PUMPKIN,2001-08-06,18.9,38.87
SNAKE GOURD,2001-08-06,9.4,28.89
BRINJALS,2001-08-13,19.2,43.82
CABBAGE,2001-08-13,14.5,40.58
CARROT,2001-08-13,28.9,49.53
LEEKS,2001-08-13,18.8,39.78
PUMPKIN,2001-08-13,18.5,37.67
SNAKE GOURD,2001-08-13,8.9,27.98
BRINJALS,2001-08-20,17.6,43.18
CABBAGE,2001-08-20,13.5,38.89
CARROT,2001-08-20,27.5,46.6
LEEKS,2001-08-20,17.7,38.4
PUMPKIN,2001-08-20,17.1,34.38
SNAKE GOURD,2001-08-20,8.9,27.62
BRINJALS,2001-08-27,18.2,43.25
CABBAGE,2001-08-27,14.9,39.84
CARROT,2001-08-27,25.6,45.61
LEEKS,2001-08-27,17.4,38.32
PUMPKIN,2001-08-27,14.4,34.7
SNAKE GOURD,2001-08-27,7.8,26.38
BRINJALS,2001-09-03,19.1,43.87
CABBAGE,2001-09-03,15.8,40.96
CARROT,2001-09-03,25.3,46.18
LEEKS,2001-09-03,20.0,40.82
PUMPKIN,2001-09-03,14.0,33.07
SNAKE GOURD,2001-09-03,8.0,26.82
BRINJALS,2001-09-10,22.6,46.89
CABBAGE,2001-09-10,18.2,42.8
CARROT,2001-09-10,24.1,47.42
LEEKS,2001-09-10,21.0,42.11
PUMPKIN,2001-09-10,13.6,32.5
SNAKE GOURD,2001-09-10,12.7,29.24
BRINJALS,2001-09-17,24.0,47.0
CABBAGE,2001-09-17,16.8,40.76
CARROT,2001-09-17,20.5,46.0
LEEKS,2001-09-17,19.0,40.65
PUMPKIN,2001-09-17,13.9,32.6
SNAKE GOURD,2001-09-17,12.83,31.3
BRINJALS,2001-09-24,24.1,48.16
CABBAGE,2001-09-24,15.5,40.73
CARROT,2001-09-24,19.0,42.69
LEEKS,2001-09-24,20.7,41.47
PUMPKIN,2001-09-24,15.5,33.59
SNAKE GOURD,2001-09-24,14.1,31.48
BRINJALS,2001-10-01,25.4,49.11
CABBAGE,2001-10-01,16.6,43.59
CARROT,2001-10-01,18.8,42.44
LEEKS,2001-10-01,19.8,41.25
PUMPKIN,2001-10-01,18.1,34.98
SNAKE GOURD,2001-10-01,14.8,33.14
BRINJALS,2001-10-08,26.9,49.13
CABBAGE,2001-10-08,14.6,39.29
CARROT,2001-10-08,16.1,39.44
LEEKS,2001-10-08,19.1,40.44
PUMPKIN,2001-10-08,16.6,34.25
SNAKE GOURD,2001-10-08,15.0,35.56
BRINJALS,2001-10-15,23.1,46.91
CABBAGE,2001-10-15,12.6,38.55
CARROT,2001-10-15,16.0,37.04
LEEKS,2001-10-15,20.0,40.49
PUMPKIN,2001-10-15,16.7,35.0
SNAKE GOURD,2001-10-15,14.9,33.44
BRINJALS,2001-10-22,22.3,45.58
CABBAGE,2001-10-22,12.5,36.98
CARROT,2001-10-22,15.4,36.98
LEEKS,2001-10-22,21.0,39.82
PUMPKIN,2001-10-22,15.0,33.69
SNAKE GOURD,2001-10-22,13.6,32.23
BRINJALS,2001-10-29,18.6,45.04
CABBAGE,2001-10-29,12.1,36.84
CARROT,2001-10-29,14.6,36.5
LEEKS,2001-10-29,18.5,39.8
PUMPKIN,2001-10-29,15.0,32.31
SNAKE GOURD,2001-10-29,12.5,30.87
BRINJALS,2001-11-05,15.9,43.22
CABBAGE,2001-11-05,12.2,37.87
CARROT,2001-11-05,17.0,38.71
LEEKS,2001-11-05,22.0,39.82
PUMPKIN,2001-11-05,14.3,32.25
SNAKE GOURD,2001-11-05,13.1,32.49
BRINJALS,2001-11-12,17.1,44.27
CABBAGE,2001-11-12,13.5,40.8
CARROT,2001-11-12,18.4,42.53
LEEKS,2001-11-12,24.0,42.11
PUMPKIN,2001-11-12,12.8,31.31
SNAKE GOURD,2001-11-12,14.0,32.56
BRINJALS,2001-11-19,20.9,47.61
CABBAGE,2001-11-19,18.1,41.73
CARROT,2001-11-19,21.5,44.91
LEEKS,2001-11-19,28.9,47.58
PUMPKIN,2001-11-19,11.7,29.84
SNAKE GOURD,2001-11-19,14.0,33.71
BRINJALS,2001-11-26,23.0,47.85
CABBAGE,2001-11-26,16.1,40.97
CARROT,2001-11-26,20.6,42.75
LEEKS,2001-11-26,25.0,46.35
PUMPKIN,2001-11-26,11.5,29.33
SNAKE GOURD,2001-11-26,14.8,32.88
BRINJALS,2001-12-03,23.0,47.85
CABBAGE,2001-12-03,16.1,40.97
CARROT,2001-12-03,20.6,42.75
LEEKS,2001-12-03,25.0,46.35
PUMPKIN,2001-12-03,11.5,29.33
SNAKE GOURD,2001-12-03,14.8,32.88
BRINJALS,2001-12-10,19.1,43.16
CABBAGE,2001-12-10,11.4,40.27
CARROT,2001-12-10,35.1,51.33
LEEKS,2001-12-10,31.6,48.36
PUMPKIN,2001-12-10,12.2,29.58
SNAKE GOURD,2001-12-10,9.6,30.14
BRINJALS,2001-12-17,20.2,43.16
CABBAGE,2001-12-17,12.4,40.6
CARROT,2001-12-17,34.0,52.82
LEEKS,2001-12-17,30.4,49.43
PUMPKIN,2001-12-17,11.8,28.96
SNAKE GOURD,2001-12-17,9.6,28.49
BRINJALS,2001-12-24,19.17,42.0
CABBAGE,2001-12-24,13.4,35.92
CARROT,2001-12-24,22.83,49.24
LEEKS,2001-12-24,28.0,46.08
PUMPKIN,2001-12-24,10.33,28.76
SNAKE GOURD,2001-12-24,10.0,28.85
BRINJALS,2001-12-31,12.2,37.0
CABBAGE,2001-12-31,9.6,36.97
CARROT,2001-12-31,22.0,49.25
LEEKS,2001-12-31,21.4,47.27
PUMPKIN,2001-12-31,11.4,29.86
